type,concept,page,section,body,source,gap,see_also
FSD,,semiotics/signifiers/index.html,,Technical Auditfsd:TechnicalAudit is used only when the source identifies the relevant audit function or proposal.,FSD-Ontology-2026.md,,
FSD,,synthesis/index.html,,Loop Conditionfsd:LoopCondition may synthesise repeated refusals or prolonged non-determination only where the stated conditions are evidenced.,FSD-Ontology-2026.md,,
FSD,,synthesis/index.html,,Loop Closurefsd:LoopClosure identifies a proposed terminal mechanism; its existence or operation must be separately documented.,FSD-Ontology-2026.md,,
FSD,fsd:Submission,DETE-letter-Sep-10_clean.md,,"This letter consolidates, for the departmental and evaluation record, what has already been established through prior correspondence, committee submissions, and active Ombudsman proceedings.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:Ombudsman,DETE-letter-Sep-10_clean.md,,"This letter consolidates, for the departmental and evaluation record, what has already been established through prior correspondence, committee submissions, and active Ombudsman proceedings.",FSD-Ontology-2026.md — Ombudsman,,
FSD,fsd:CompetentAuthority,DETE-letter-Sep-10_clean.md,,THE COMPETENT AUTHORITY OBLIGATION,FSD-Ontology-2026.md — Competent Authority,,
FSD,fsd:CompetentAuthority,DETE-letter-Sep-10_clean.md,,"Section 3 of the Control of Exports Act 2023 designates the Minister for Enterprise, Tourism and Employment as Ireland's competent authority for the purposes of Regulation (EU) 2021/821.",FSD-Ontology-2026.md — Competent Authority,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,"The functional question has six components: whether the designated authority can be identified; whether it possesses the information, expertise, and resources to act; whether it can reliably obtain information held elsewhere in the State; whether an institutional mechanism exists requiring cross-departmental inputs to be assembled where the assessment demands them; whether there is an effective route from assessment to regulatory action; and whether responsibility for the resulting determination is clearly attributable where the function is delegated.",FSD-Ontology-2026.md — Determination,,
FSD,fsd:CompetentAuthority,DETE-letter-Sep-10_clean.md,,"Section 13 empowers the competent authority to determine, in an individual case, that an authorisation is required for a particular non-Annex-I item.",FSD-Ontology-2026.md — Competent Authority,,
FSD,fsd:Submission,DETE-letter-Sep-10_clean.md,,The submission is on the departmental record.,FSD-Ontology-2026.md — Submission,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,That determination —applied to the submitted corpus— is what twenty years of engagement has not produced.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:CompetentAuthority,DETE-letter-Sep-10_clean.md,,Article 15 and section 29 between them define the considerations a competent authority must weigh.,FSD-Ontology-2026.md — Competent Authority,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,The current architecture distributes the constituent elements of a decision across three institutions without establishing which body is responsible for producing the determination those elements must yield.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,"It did not, on the record available, include any audit, discharge, or determination of the accumulated unresolved record arising during DFA's fifteen years as designated authority.",FSD-Ontology-2026.md — Determination,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,The DFA produced zero evaluations and zero statutory determinations across that period on a corpus of Operations Research materials submitted from May 2006.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Submission,DETE-letter-Sep-10_clean.md,,The submission predates Regulation 2021/821 itself.,FSD-Ontology-2026.md — Submission,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,The non-determination spans three regulatory instruments and twenty years.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:NonDetermination,DETE-letter-Sep-10_clean.md,,The non-determination spans three regulatory instruments and twenty years.,FSD-Ontology-2026.md — Non-Determination,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,"— DOD-MO-01201-2025: the ministerial determination issued by the Department of Defence on February 4th, 2026, which purported to close this matter.",FSD-Ontology-2026.md — Determination,,
FSD,fsd:Submission,DETE-letter-Sep-10_clean.md,,A determination it issues on the substance of a dual-use submission has no regulatory standing under the Regulation.,FSD-Ontology-2026.md — Submission,,
FSD,fsd:DualUseSubmission,DETE-letter-Sep-10_clean.md,,A determination it issues on the substance of a dual-use submission has no regulatory standing under the Regulation.,FSD-Ontology-2026.md — Dual-Use Submission,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,A determination it issues on the substance of a dual-use submission has no regulatory standing under the Regulation.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,"The determination rested entirely on a conclusion issued on June 1st, 2025, by the Office of Emergency Planning.",FSD-Ontology-2026.md — Determination,,
FSD,fsd:CompetentAuthority,DETE-letter-Sep-10_clean.md,,It has never been designated as a competent authority under any version of the dual-use regime.,FSD-Ontology-2026.md — Competent Authority,,
FSD,fsd:Submission,DETE-letter-Sep-10_clean.md,,"In May 2006 it acknowledged that the petitioner may have information of interest to the State, invited further submission, stalled on a credentials condition, and left the matter without destination or referral.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:Submission,DETE-letter-Sep-10_clean.md,,"When the record was pressed further for a government position on the substantive material, no tangible response was supplied —only the same generic assertions repeated without evidence, supervision, or engagement with the specific submission.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:Ombudsman,DETE-letter-Sep-10_clean.md,,"This matter is currently before the Office of the Ombudsman, ref.",FSD-Ontology-2026.md — Ombudsman,,
FSD,fsd:Submission,DETE-letter-Sep-10_clean.md,,"Article 12 requires the competent authority, when assessing a submission, to take into account the national security interests of the Member State.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:CompetentAuthority,DETE-letter-Sep-10_clean.md,,"Article 12 requires the competent authority, when assessing a submission, to take into account the national security interests of the Member State.",FSD-Ontology-2026.md — Competent Authority,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,Ireland's zero-determination record will enter that evaluation as a compliance fact.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Submission,DETE-letter-Sep-10_clean.md,,"Your Department has also opened a public consultation inviting stakeholder input into that evaluation, with a deadline of October 15th, 2026; the corpus that is the subject of this notice is the most directly relevant submission that consultation could receive.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:Ombudsman,DETE-letter-Sep-10_clean.md,,An Ombudsman complaint (OMB-260331-CSD014) is active.,FSD-Ontology-2026.md — Ombudsman,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,"The State has mishandled a corpus of technically specialised Operations Research material since 2006, while the functions necessary to assess it have remained distributed between departments without an identified mechanism for assembling the requisite expertise, information and security inputs into a competent-authority determination.",FSD-Ontology-2026.md — Determination,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,"The export-control record presents the inverse problem: DETE, DFA and Defence each hold part of the information or institutional function necessary to assess the corpus, yet the record identifies no equivalent mechanism by which those inputs are assembled into a competent-authority determination.",FSD-Ontology-2026.md — Determination,,
FSD,fsd:CompetentAuthority,DETE-letter-Sep-10_clean.md,,"This letter consolidates, for the evaluation record now open, a non-determination spanning twenty years —from May 2006 under Regulation (EC) No 1334/2000, through Regulation (EC) No 428/2009 from August 2009, to Regulation (EU) 2021/821 from September 2021— confirming that the obligation resides with your Department as the designated competent authority under the Control of Exports Act 2023.",FSD-Ontology-2026.md — Competent Authority,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,"This letter consolidates, for the evaluation record now open, a non-determination spanning twenty years —from May 2006 under Regulation (EC) No 1334/2000, through Regulation (EC) No 428/2009 from August 2009, to Regulation (EU) 2021/821 from September 2021— confirming that the obligation resides with your Department as the designated competent authority under the Control of Exports Act 2023.",FSD-Ontology-2026.md — Determination,,
FSD,fsd:NonDetermination,DETE-letter-Sep-10_clean.md,,"This letter consolidates, for the evaluation record now open, a non-determination spanning twenty years —from May 2006 under Regulation (EC) No 1334/2000, through Regulation (EC) No 428/2009 from August 2009, to Regulation (EU) 2021/821 from September 2021— confirming that the obligation resides with your Department as the designated competent authority under the Control of Exports Act 2023.",FSD-Ontology-2026.md — Non-Determination,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,The question is whether the determination comes from the minister or from the court.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,(b) confirm whether a statutory determination under Regulation 2021/821 —or a case-specific determination under section 13 of the Control of Exports Act 2023— in respect of the submitted OR corpus has been issued or is in preparation;,FSD-Ontology-2026.md — Determination,,
FSD,fsd:CompetentAuthority,DETE-letter-Sep-10_clean.md,,"(c) identify the mechanism, if any, by which your Department currently assembles the cross-departmental inputs required by Article 12 and section 29 —that is, the licensing function (DETE), the regime membership and international coordination function (DFA), and the security assessment function (the Department of Defence)— in producing an integrated competent authority determination;",FSD-Ontology-2026.md — Competent Authority,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,"(c) identify the mechanism, if any, by which your Department currently assembles the cross-departmental inputs required by Article 12 and section 29 —that is, the licensing function (DETE), the regime membership and international coordination function (DFA), and the security assessment function (the Department of Defence)— in producing an integrated competent authority determination;",FSD-Ontology-2026.md — Determination,,
FSD,fsd:Determination,DETE-letter-Sep-10_clean.md,,(e) confirm whether the Department's public consultation on the Commission's evaluation of Regulation 2021/821 constitutes an available channel through which the submitted corpus may now receive the statutory determination it has not received across twenty years.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,# EU Regulatory Annotation — v2 ## Qualifying Submissions (Duty to Determine) Bill 2026 (v3),FSD-Ontology-2026.md — Submission,,
FSD,fsd:ProhibitedPractice,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,| Obligation cluster | Original date | Omnibus-amended date | |---|---|---| | High-risk systems — Annex III (standalone) | 2 August 2026 | **2 December 2027** | | High-risk systems — Annex I (product safety) | 2 August 2027 | **2 August 2028** | | Prohibited practices (Art.,FSD-Ontology-2026.md — Prohibited Practice,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"1(4) — no right to a favourable decision, no policy transfer to the Ombudsman, no alteration of existing jurisdictions, no replacement of sufficient procedures, no obligation to adopt submissions, no substantive rights — now appear in the operative text rather than only in the Introduction.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:Ombudsman,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"1(4) — no right to a favourable decision, no policy transfer to the Ombudsman, no alteration of existing jurisdictions, no replacement of sufficient procedures, no obligation to adopt submissions, no substantive rights — now appear in the operative text rather than only in the Introduction.",FSD-Ontology-2026.md — Ombudsman,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"2(1) — ""operative submission"" (new in v3)",FSD-Ontology-2026.md — Submission,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,An operative submission in the sense of s.,FSD-Ontology-2026.md — Submission,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"The Bill's distinction between operative and non-operative submissions imports the patent-law distinction between mere conception and reduction to practice (Explanatory Memorandum, ""Operative Submissions"").",FSD-Ontology-2026.md — Submission,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"Simon's Logic Theorist was, in the same sense, an operative submission: it ran, it produced verifiable outputs, and those outputs were independently replicable.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:SufficiencyAssertion,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,The institutional resistance it met — McCarthy's attempt to present it as an output of Dartmouth rather than independent prior work — is the procedural analogue of the sufficiency assertion.,FSD-Ontology-2026.md — Sufficiency Assertion,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,The operative submission definition captures this: the component must be producing or capable of producing outputs independently observable and refutable on stated criteria — the same standard Art.,FSD-Ontology-2026.md — Submission,,
FSD,fsd:StructuralDisplacement,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"2(1) — ""structural displacement""",FSD-Ontology-2026.md — Structural Displacement,,
FSD,fsd:StructuralDisplacement,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,Structural displacement — each body holding a component — means neither obligation can be discharged by any single body.,FSD-Ontology-2026.md — Structural Displacement,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"*""Every lawful administrative process initiated by a qualifying submission shall conclude through a lawful determination.""*",FSD-Ontology-2026.md — Submission,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"*""Every lawful administrative process initiated by a qualifying submission shall conclude through a lawful determination.""*",FSD-Ontology-2026.md — Determination,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,47 CFR** — Effective remedy requires that there be a determination to review.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,2C — Operative submissions: general principle (new in v3),FSD-Ontology-2026.md — Submission,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,2C(3) gives this statutory form: a determination relying on general domain knowledge after declining access to the operative component is not a determination.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,2C(5) imports the same logic into the administrative determination context: prior operational use in a comparable domain satisfies the sufficiency threshold; the receiving body must identify specific material differences rather than treating prior operational history as irrelevant.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,3(2)(b) — High-risk AI qualifying submissions,FSD-Ontology-2026.md — Submission,,
FSD,fsd:SufficiencyAssertion,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,A sufficiency assertion claiming general AI familiarity does not constitute this verification.,FSD-Ontology-2026.md — Sufficiency Assertion,,
FSD,fsd:PublicBody,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"A public body without OR capacity either performs it without the analytical tools it requires, or relies on the developer's documentation — exactly the capture dynamic ss.",FSD-Ontology-2026.md — Public Body,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,3A — Elevated duty in respect of operative submissions (new in v3),FSD-Ontology-2026.md — Submission,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,3A(2) — Reduced determination period (6 months):** **Reg.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"The 6-month period for operative submissions reflects the principle that where evidence is present and observable, the time required for assessment is determinable rather than open-ended.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:SufficiencyAssertion,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,3A(3) — Categorical unavailability of sufficiency assertion:** **EU AI Act — Art.,FSD-Ontology-2026.md — Sufficiency Assertion,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,9(8) testing obligation applied to the administrative determination context.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"3A(4) — Loop acceleration (immediate declination):** A sufficiency assertion on an operative submission where access was declined counts immediately toward the loop condition threshold, without the ordinary 5-year accumulation period.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:SufficiencyAssertion,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"3A(4) — Loop acceleration (immediate declination):** A sufficiency assertion on an operative submission where access was declined counts immediately toward the loop condition threshold, without the ordinary 5-year accumulation period.",FSD-Ontology-2026.md — Sufficiency Assertion,,
FSD,fsd:LoopCondition,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"3A(4) — Loop acceleration (immediate declination):** A sufficiency assertion on an operative submission where access was declined counts immediately toward the loop condition threshold, without the ordinary 5-year accumulation period.",FSD-Ontology-2026.md — Loop Condition,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"Where the submission is demonstrably operational, the deferral mechanism that the 5-year period otherwise permits would compound the Art.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,A determination representing general domain knowledge as equivalent to specific component evaluation contravenes the transparency standard Art.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,3A(6) — Requirements for valid rejection after observation:** The determination must engage the submitter's stated refutability criteria.,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,3A(9) — Loop acceleration for operative submissions:** The 5-year accumulation period does not apply.,FSD-Ontology-2026.md — Submission,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,47 CFR:** The effective remedy timeline cannot be calibrated to a period designed for non-operational submissions when the submission is demonstrably operational and the evidence is immediately available.,FSD-Ontology-2026.md — Submission,,
FSD,fsd:LoopClosure,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,The accelerated loop closure is the remedy proportionate to the immediacy of the evidence.,FSD-Ontology-2026.md — Loop Closure,,
FSD,fsd:SufficiencyAssertion,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,5 — Prohibition on sufficiency assertion,FSD-Ontology-2026.md — Sufficiency Assertion,,
FSD,fsd:SufficiencyAssertion,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,A sufficiency assertion is the performance of assessment without its exercise.,FSD-Ontology-2026.md — Sufficiency Assertion,,
FSD,fsd:SufficiencyAssertion,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"**Mertonian grounding (Gatekeeping Brief §IV):** The sufficiency assertion violates universalism (evaluation by impersonal criteria applied to the claim itself, not to the category) and organised scepticism (critical scrutiny of the specific claim).",FSD-Ontology-2026.md — Sufficiency Assertion,,
FSD,fsd:TechnicalAudit,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,5A–5C — Independent technical audit,FSD-Ontology-2026.md — Independent Technical Audit,,
FSD,fsd:Ombudsman,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"5A–5C build the equivalent mechanism for the domestic administrative determination context, with Ombudsman nomination as the independence safeguard where parties cannot agree (s.",FSD-Ontology-2026.md — Ombudsman,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"5A–5C build the equivalent mechanism for the domestic administrative determination context, with Ombudsman nomination as the independence safeguard where parties cannot agree (s.",FSD-Ontology-2026.md — Determination,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"5A–5C provide the equivalent function at the domestic level, making Ireland potentially the first Member State to establish a formalised technical assessment pathway for OR corpus submissions engaging both the AI Act and the Dual-Use Regulation simultaneously (as noted in the annotation v1, Technical Annex section — unchanged).",FSD-Ontology-2026.md — Submission,,
FSD,fsd:AdministrativeAmnesia,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,6 — Prohibition on administrative amnesia,FSD-Ontology-2026.md — Administrative Amnesia,,
FSD,fsd:AdministrativeAmnesia,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"**Bateson/Deutero-Learning grounding (Gatekeeping Brief §IV, Deutero-Learning):** Administrative amnesia is the institutional expression of deutero-learning failure: the system learns not to learn, producing fresh officers who encounter the record as though for the first time.",FSD-Ontology-2026.md — Administrative Amnesia,,
FSD,fsd:Ombudsman,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,41 right into a statutory prohibition backed by the Ombudsman Act 1980 maladministration classification.,FSD-Ontology-2026.md — Ombudsman,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,8 — Transitional duty of determination,FSD-Ontology-2026.md — Determination,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"8's retrospective application to AI Act submissions ensures that where a submission asserting high-risk AI characteristics has been formally lodged, the domestic duty to determine runs from commencement regardless of the EU conformity-assessment timeline.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,8A — Non-determination by reliance on unresolved prior conclusions,FSD-Ontology-2026.md — Determination,,
FSD,fsd:NonDetermination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,8A — Non-determination by reliance on unresolved prior conclusions,FSD-Ontology-2026.md — Non-Determination,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,8B — Non-determination by over-extension of powers,FSD-Ontology-2026.md — Determination,,
FSD,fsd:NonDetermination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,8B — Non-determination by over-extension of powers,FSD-Ontology-2026.md — Non-Determination,,
FSD,fsd:Submission,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"The section-92 problem (Gatekeeping Brief §III, ""The Section 92 Problem""): the use of a correspondence-management power to close a substantive submission without determination.",FSD-Ontology-2026.md — Submission,,
FSD,fsd:Determination,EU-Regulatory-Annotation_Duty-to-Determine-Bill_2026.md,,"The section-92 problem (Gatekeeping Brief §III, ""The Section 92 Problem""): the use of a correspondence-management power to close a substantive submission without determination.",FSD-Ontology-2026.md — Determination,,
